date                             ,driver_number ,lap_number ,meeting_key ,pit_duration ,session_key
2024-06-09 18:14:57.067000+00:00 ,           20 ,         7 ,       1237 ,        30.4 ,       9531
2024-06-09 18:22:58.338000+00:00 ,           27 ,        12 ,       1237 ,        24.2 ,       9531
2024-06-09 18:41:08.894000+00:00 ,           24 ,        24 ,       1237 ,        25.5 ,       9531
2024-06-09 18:41:16.833000+00:00 ,            1 ,        25 ,       1237 ,        24.3 ,       9531
2024-06-09 18:41:17.188000+00:00 ,           63 ,        25 ,       1237 ,        24.0 ,       9531
2024-06-09 18:41:18.206000+00:00 ,           81 ,        25 ,       1237 ,        23.9 ,       9531
2024-06-09 18:41:37.963000+00:00 ,           44 ,        25 ,       1237 ,        23.7 ,       9531
2024-06-09 18:41:39.235000+00:00 ,           14 ,        25 ,       1237 ,        25.7 ,       9531
2024-06-09 18:42:12.056000+00:00 ,           18 ,        25 ,       1237 ,        24.2 ,       9531
2024-06-09 18:42:19.997000+00:00 ,           23 ,        25 ,       1237 ,        24.7 ,       9531
2024-06-09 18:42:23.162000+00:00 ,           16 ,        25 ,       1237 ,        24.0 ,       9531
2024-06-09 18:42:30.087000+00:00 ,           55 ,        25 ,       1237 ,        27.6 ,       9531
2024-06-09 18:42:30.955000+00:00 ,           20 ,        25 ,       1237 ,        26.7 ,       9531
2024-06-09 18:42:31.911000+00:00 ,           10 ,        25 ,       1237 ,        24.9 ,       9531
2024-06-09 18:42:43.648000+00:00 ,           11 ,        25 ,       1237 ,        33.7 ,       9531
2024-06-09 18:42:46.791000+00:00 ,           27 ,        25 ,       1237 ,        24.6 ,       9531
2024-06-09 18:43:08.307000+00:00 ,            4 ,        26 ,       1237 ,        23.4 ,       9531
2024-06-09 18:44:07.949000+00:00 ,            3 ,        26 ,       1237 ,        30.2 ,       9531
2024-06-09 18:48:19.047000+00:00 ,           16 ,        28 ,       1237 ,        47.1 ,       9531
2024-06-09 18:53:57.163000+00:00 ,           16 ,        31 ,       1237 ,        24.6 ,       9531
2024-06-09 19:06:20.775000+00:00 ,           10 ,        40 ,       1237 ,        24.4 ,       9531
2024-06-09 19:07:49.606000+00:00 ,           20 ,        41 ,       1237 ,        24.8 ,       9531
2024-06-09 19:09:10.865000+00:00 ,           77 ,        42 ,       1237 ,        24.9 ,       9531
2024-06-09 19:10:11.665000+00:00 ,           44 ,        43 ,       1237 ,        24.2 ,       9531
2024-06-09 19:10:34.901000+00:00 ,            3 ,        43 ,       1237 ,        23.8 ,       9531
2024-06-09 19:10:37.059000+00:00 ,           55 ,        43 ,       1237 ,        24.1 ,       9531
2024-06-09 19:10:37.798000+00:00 ,           11 ,        43 ,       1237 ,        24.4 ,       9531
2024-06-09 19:11:34.047000+00:00 ,           81 ,        44 ,       1237 ,        23.4 ,       9531
2024-06-09 19:11:48.531000+00:00 ,           14 ,        44 ,       1237 ,        24.3 ,       9531
2024-06-09 19:11:52.689000+00:00 ,           22 ,        44 ,       1237 ,        25.5 ,       9531
2024-06-09 19:11:55.703000+00:00 ,           18 ,        44 ,       1237 ,        25.0 ,       9531
2024-06-09 19:11:57.263000+00:00 ,           31 ,        44 ,       1237 ,        24.4 ,       9531
2024-06-09 19:11:59.794000+00:00 ,           23 ,        44 ,       1237 ,        24.8 ,       9531
2024-06-09 19:12:08.566000+00:00 ,           27 ,        44 ,       1237 ,        24.7 ,       9531
2024-06-09 19:12:53.824000+00:00 ,            1 ,        45 ,       1237 ,        24.2 ,       9531
2024-06-09 19:12:57.884000+00:00 ,           63 ,        45 ,       1237 ,        25.4 ,       9531
2024-06-09 19:12:59.918000+00:00 ,           24 ,        44 ,       1237 ,        65.5 ,       9531
2024-06-09 19:15:43.631000+00:00 ,            4 ,        47 ,       1237 ,        23.9 ,       9531
2024-06-09 19:25:31.543000+00:00 ,           24 ,        52 ,       1237 ,        28.3 ,       9531
2024-06-09 19:25:48.175000+00:00 ,           63 ,        54 ,       1237 ,        28.1 ,       9531
2024-06-09 19:25:54.234000+00:00 ,           44 ,        54 ,       1237 ,        28.8 ,       9531
2024-06-09 19:26:52.500000+00:00 ,           20 ,        54 ,       1237 ,        26.8 ,       9531
